Time(ms),qx,pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
11858,0.0,2760.0,2810.0,0.0,528.5571,8388607.0,-6444.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11934,0.0,2401.0,2814.0,0.0,528.51526,8388607.0,-6490.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12004,0.0,2750.0,2805.0,0.0,529.067,8388607.0,-6513.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12073,0.0,3177.0,2805.0,0.0,528.7593,8388607.0,-6549.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12165,0.0,2737.0,2808.0,0.0,529.13806,8388607.0,-6545.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12237,0.0,2802.0,2804.0,0.0,528.80664,8388607.0,-6556.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12325,0.0,2836.0,2805.0,0.0,529.2109,8388607.0,-6454.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12399,0.0,2396.0,2813.0,0.0,528.7028,8388607.0,-6330.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12481,0.0,2755.0,2805.0,0.0,528.41144,8388607.0,-6256.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12540,0.0,3191.0,2808.0,0.0,528.5116,8388607.0,-6382.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12627,0.0,2797.0,2809.0,0.0,528.96686,8388607.0,-6418.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12696,0.0,2408.0,2806.0,0.0,528.5426,8388607.0,-6190.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12801,0.0,2748.0,2807.0,0.0,528.5754,8388607.0,-6368.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12856,0.0,2790.0,2805.0,0.0,528.6245,8388607.0,-6422.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12947,0.0,2771.0,2806.0,0.0,528.5444,8388607.0,-6519.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13019,0.0,3207.0,2805.0,0.0,528.7356,8388607.0,-6326.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13094,0.0,2766.0,2805.0,0.0,528.8194,8388607.0,-6421.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13165,0.0,2401.0,2812.0,0.0,528.162,8388607.0,-6438.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13259,0.0,2999.0,2805.0,0.0,528.49524,8388607.0,-6450.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
